der	the
Beispiel	example
Gesellschaft	society, company
damalig	then, of that time
denn	because, for
einmal	once
Lage	situation, location
Frage	question
Praxis	practice
innerhalb	inside, within
zuvor	beforehand
Welt	world
acht	eight
Mai	May
Fluss	river
Mitarbeiter	employee
Wahl	election, choice
fallen	to fall
Musik	music
treffen	to meet
deutlich	clear
vertreten	to represent
Richtung	direction
gegenüber	opposite, toward
häufig	frequent
Zahl	number
heißen	to be called
errichten	to erect
dafür	for that
jeweils	respectively
einzeln	individual
verlieren	to lose
Straße	street
November	November
Bild	picture
September	September
zusätzlich	additional
aufnehmen	to take up, to record
Mitte	middle
sowohl	both (… and)
USA	United States
leiten	to lead
Spieler	player
wohl	probably, well
Zimmer	room
rot	red
beschreiben	to describe
Bruder	brother
Stand	stand, status
Landkreis	district
Punkt	point
richtig	correct
Nähe	vicinity
recht	quite, right
legen	to lay
leicht	easy, light
Juli	July
Strecke	stretch, route
breit	wide
Kilometer	kilometre
Provinz	province
Beratung	advice, consultation
einzig	only, sole
italienisch	Italian
selten	rare
ebenso	likewise
tätig	active
westlich	western
dadurch	thereby
suchen	to look for
Raum	room, space
somit	thus
teilweise	partly
bald	soon
Sommer	summer
Tochter	daughter
Wasser	water
wesentlich	essential
japanisch	Japanese
Verbindung	connection
Sprache	language
englisch	English
Rahmen	frame, framework
Qualität	quality
fühlen	to feel
Personal	staff
darüber	about that
eher	rather
obwohl	although
Zug	train
beispielsweise	for example
Entwicklung	development
London	London
unterstützen	to support
München	Munich
Monat	month
erklären	to explain
mögen	to like
gleichzeitig	simultaneous
Organisation	organization
erneut	anew
Kloster	monastery
Ortsteil	district of a town
Wien	Vienna
Begriff	term, concept
kompetent	competent
Laden	shop
Entscheidung	decision
gerade	just, straight
wer	who
laufen	to run
entsprechend	corresponding
Norden	north
zählen	to count
steigen	to rise
enthalten	to contain
Linie	line
verlassen	to leave
daraufhin	thereupon
je	each, ever
Hilfe	help
darstellen	to represent
beteiligen	to take part
östlich	eastern
erwähnen	to mention
Minute	minute
Wort	word
hinter	behind
offen	open
Leistung	performance
Markt	market
Europa	Europe
Aufgabe	task
Fahrzeug	vehicle
Bevölkerung	population
historisch	historical
wachsen	to grow
Süden	south
Produktion	production
Studium	studies
Schiff	ship
Kunst	art
kaum	hardly
modern	modern
Italien	Italy
zehn	ten
Ziel	goal
weisen	to point
Vertrag	contract
Tor	gate, goal
Paris	Paris
darunter	among them
März	March
erfolgreich	successful
wissen	to know
Patient	patient
fahren	to drive, to go
Stelle	place, position
verkaufen	to sell
selber	oneself
Bahnhof	station
Kaiser	emperor
offiziell	official
Januar	January
militärisch	military
katholisch	Catholic
Professor	professor
Westen	west
Länge	length
Bedeutung	meaning
wirken	to have an effect
bestimmt	certain
zufrieden	satisfied
kaufen	to buy
Österreich	Austria
eigentlich	actual, actually
Anlage	facility
pro	per
Zentrum	centre
speziell	special
Thema	topic
Osten	east
Beginn	start
beschäftigen	to employ, to occupy
See	lake, sea
vorhanden	available
trotz	despite
Wert	value
verfügen	to have at one's disposal
Freund	friend
betreiben	to operate
Dezember	December
Projekt	project
belegen	to occupy, to prove
fest	firmly
Plan	plan
System	system
umfassen	to comprise
bevor	before
gering	small, slight
sogenannt	so-called
Juni	June
Klasse	class
sofort	immediately
lediglich	merely
besondere	special
Tier	animal
Hälfte	half
unmittelbar	immediate
Stimme	voice
weiß	white
gebären	to give birth
tun	to do
darin	therein
Zeitpunkt	point in time
Museum	museum
Behandlung	treatment
Kunde	customer
Restaurant	restaurant
Schweiz	Switzerland
du	you
persönlich	personal
Mutter	mother
existieren	to exist
Vorsitzende	chairperson
Bezeichnung	designation
Kreis	circle, district
Fläche	area, surface
erzielen	to achieve
Roman	novel
Kampf	fight
Burg	castle
verbinden	to connect
Schüler	pupil, student
lernen	to learn
April	April
durchführen	to carry out
Regel	rule
Nachfolger	successor
verstehen	to understand
echt	real
Geld	money
gerne	gladly
regelmäßig	regular
Grenze	border
weiterhin	furthermore
typisch	typical
obere	upper
ähnlich	similar
Ausbildung	training
einstellen	to hire, to adjust
klassisch	classical
Gott	god
wissenschaftlich	scientific
Stein	stone
verleihen	to award, to lend
Höhe	height
Funktion	function
Serie	series
berichten	to report
Termin	appointment
sauber	clean
absolut	absolute
toll	great
voll	full
Weise	way, manner
vollständig	complete
seitdem	since then
kennen	to know
Hof	courtyard, court
vermutlich	presumed
jener	that
preußisch	Prussian
Karriere	career
Einfluss	influence
Schloss	castle, lock
bedeutend	significant
kehren	to turn, to sweep
brauchen	to need
positiv	positive
Politik	politics
lecker	tasty
scheinen	to seem, to shine
Besuch	visit
benutzen	to use
verbringen	to spend (time)
Größe	size
Feld	field
daneben	beside that
Boden	ground, floor
laut	according to
wirtschaftlich	economic
technisch	technical
Bewegung	movement
Bischof	bishop
Theater	theatre
England	England
Motor	engine
prägen	to shape, to mint
Weltmeisterschaft	world championship
Gattung	genus, kind
Schrift	script, writing
Erfahrung	experience
überhaupt	at all
gar	even, at all
Gegensatz	contrast
heraus	out
Kritik	criticism
Hamburg	Hamburg
Soldat	soldier
sichern	to secure
Modell	model
Literatur	literature
Versuch	attempt
Verwaltung	administration
Meisterschaft	championship
Anschluss	connection
mindestens	at least
bisher	so far
anbieten	to offer
Abend	evening
liefern	to deliver
unterschiedlich	different
Idee	idea
denken	to think
Hand	hand
Alter	age
nahe	near
entscheiden	to decide
inzwischen	in the meantime
Möglichkeit	possibility
weniger	less
zentral	central
entsprechen	to correspond
Truppe	troop
Gelände	grounds, terrain
Wirtschaft	economy
russisch	Russian
Polizei	police
Interesse	interest
ersetzen	to replace
absolvieren	to complete
zerstören	to destroy
bedeuten	to mean
Gründung	founding
zunehmend	increasing
Japan	Japan
schwarz	black
Sieg	victory
Rennen	race
aktiv	active
evangelisch	Protestant
spanisch	Spanish
unterscheiden	to distinguish
Liga	league
Lauf	run, course
rein	pure
Umgebung	surroundings
behandeln	to treat
Verhältnis	relationship
Uhr	clock, o'clock
Arzt	doctor
Leute	people
hinaus	out
Gast	guest
meinen	to mean, to think
Auftrag	order, task
Wald	forest
Zeitung	newspaper
knapp	tight, nearly
Position	position
überwiegend	predominant
benennen	to name
Bauer	farmer
Einheit	unit
dagegen	on the other hand
Kanal	canal, channel
ernennen	to appoint
Polen	Poland
eröffnen	to open
hauptsächlich	main
Tal	valley
vorher	beforehand
Angebot	offer
helfen	to help
Gericht	court, dish
bestellen	to order
Chef	boss
günstig	favourable
entdecken	to discover
Bonn	Bonn
Lied	song
Frankfurt	Frankfurt
teilen	to share, to divide
Stil	style
Sinn	sense
Eltern	parents
fordern	to demand
Februar	February
Angabe	statement
Dienst	service
produzieren	to produce
Hauptstadt	capital
sorgen	to take care
weltweit	worldwide
Reihe	row, series
unabhängig	independent
griechisch	Greek
Bedienung	service
Untersuchung	examination
dauern	to last
allein	alone
Köln	Cologne
Produkt	product
stimmen	to vote, to be correct
Park	park
Hund	dog
stets	always
Tätigkeit	activity
völlig	complete
bestätigen	to confirm
Stück	piece
Hochschule	college
Großbritannien	Great Britain
Bericht	report
Unterstützung	support
traditionell	traditional
Beziehung	relationship
Rang	rank
Kanton	canton
Text	text
Lehrer	teacher
Besitz	possession
Turm	tower
schwedisch	Swedish
allgemein	general
Gespräch	conversation
Stern	star
reichen	to suffice, to reach
planen	to plan
natürlich	natural, of course
lokal	local
ändern	to change
fragen	to ask
betonen	to emphasize
bislang	so far
sicher	safe, sure
Nacht	night
Kraft	strength
tief	deep
erweitern	to expand
Milliarde	billion
Ministerpräsident	state premier
Stadtteil	district
Leiter	leader, ladder
verlaufen	to proceed
Berg	mountain
Philosophie	philosophy
Aufbau	structure
eng	narrow, close
Kultur	culture
Zeitschrift	magazine
römisch	Roman
scheitern	to fail
ja	yes
trotzdem	nevertheless
dahin	there
gefallen	to please
erfahren	to find out
fehlen	to be missing
früher	earlier
Volk	people
Fuß	foot
tatsächlich	actual
Abschluss	completion
erkennen	to recognize
privat	private
Prozess	process, trial
kündigen	to resign, to give notice
Bundesstaat	federal state
Israel	Israel
Armee	army
erwerben	to acquire
Basis	basis
zugleich	at the same time
Autor	author
staatlich	state
töten	to kill
ermöglichen	to enable
Kontakt	contact
Typ	type
entlang	along
Gymnasium	academic high school
Boot	boat
heiraten	to marry
bayerisch	Bavarian
Zentimeter	centimetre
berufen	to appoint
ausschließlich	exclusive
Dank	thanks
Einrichtung	institution
üblich	usual
klar	clear
vielleicht	perhaps
Wohnung	apartment
Start	start
Trainer	coach
Auswahl	selection
Hafen	harbour
fern	far
Meer	sea
Luft	air
österreichisch	Austrian
betrachten	to regard
verletzen	to injure
Schutz	protection
Szene	scene
Industrie	industry
neun	nine
polnisch	Polish
geplant	planned
Stuttgart	Stuttgart
geschehen	to happen
Stiftung	foundation
Meister	champion, master
Finale	final
Anzahl	number
ergeben	to result in
berühmt	famous
beenden	to finish
maximal	maximum
Parlament	parliament
verbreiten	to spread
hervorragend	outstanding
lange	for a long time
total	total
äußern	to express
erwarten	to expect
China	China
herstellen	to produce
stoßen	to push, to bump
Winter	winter
hören	to hear
glauben	to believe
chinesisch	Chinese
wahrscheinlich	probable
Situation	situation
Heimat	homeland
Eindruck	impression
Energie	energy
Halle	hall
dennoch	nevertheless
richten	to direct
Bahn	railway
Verfahren	procedure
feiern	to celebrate
verhindern	to prevent
verpflichten	to oblige
Konzern	corporation
Öffentlichkeit	public
Zusammenhang	connection
Künstler	artist
Flugzeug	airplane
derselbe	the same
beschließen	to decide
Verlag	publisher
Schlacht	battle
übertragen	to transfer
Nationalmannschaft	national team
Siedlung	settlement
Aufnahme	recording, admission
gelangen	to reach
Herrschaft	rule
Version	version
Bezirk	district
Variante	variant
Kosten	cost
Montag	Monday
endlich	finally
zuletzt	most recently
einrichten	to set up
ausstatten	to equip
warten	to wait
Bank	bank, bench
weiterempfehlen	to recommend further
Verfügung	disposal
Frühstück	breakfast
notwendig	necessary
annehmen	to accept
bedienen	to serve
erheben	to raise
erinnern	to remember
Studie	study
Rom	Rome
Russland	Russia
mancher	some
entscheidend	decisive
Maschine	machine
Jude	Jew
geraten	to get into
Gegner	opponent
abschließen	to conclude
derzeit	currently
Element	element
weitgehend	extensive
Runde	round
Zusammenarbeit	cooperation
Ehe	marriage
Herbst	autumn
schlagen	to hit
Verband	association
Brücke	bridge
Bach	brook
äußere	outer
urkundlich	documented
mittels	by means of
dicht	dense
gelegen	situated
mittlerweile	meanwhile
Zahnarzt	dentist
ansehen	to look at
relativ	relative
bezahlen	to pay
Marke	brand
bestimmen	to determine
Auto	car
anlegen	to create, to invest
Pflanze	plant
Sonntag	Sunday
Holz	wood
wohnen	to live, to reside
umfassend	comprehensive
lösen	to solve
Ansicht	view
Niederlage	defeat
begründen	to justify
Behörde	authority
Politiker	politician
Konflikt	conflict
Kopf	head
selbständig	independent
daran	of that
Student	student
Standort	location
Königreich	kingdom
entfernt	distant
unterliegen	to be subject to
Quelle	source
Ebene	plain, level
mittlere	middle
indem	by (doing)
Division	division
golden	golden
Körper	body
Ordnung	order
Schwester	sister
aufheben	to lift, to cancel
herrschen	to rule, to prevail
Geschäft	business
Auge	eye
