w	in
góra	Berg
granica	Grenze
patrzeć	schauen
trafić	treffen
otworzyć	öffnen
postać	Gestalt
daleki	fern
stawać	werden
opowiadać	erzählen
okazja	Gelegenheit
system	System
inaczej	anders
przypominać	erinnern
milion	Million
język	Sprache
przejść	übergehen
słyszeć	hören
razem	zusammen
wybrać	wählen
tutaj	hier
piękny	schön
zresztą	übrigens
serce	Herz
znany	bekannt
mieszkać	wohnen
procent	Prozent
pomóc	helfen
święty	heilig
lubić	mögen
przygotować	vorbereiten
czarny	schwarz
odpowiedź	Antwort
projekt	Projekt
pięć	fünf
rodzaj	Art
biały	weiß
niemal	fast
wrażenie	Eindruck
dziać	geschehen
widać	sichtbar
forma	Form
podobnie	ähnlich
spotkać	treffen
szansa	Chance
pytać	fragen
zająć	einnehmen
połowa	Hälfte
walka	Kampf
niestety	leider
jednocześnie	gleichzeitig
kultura	Kultur
pewno	gewiss
okres	Zeitraum
najpierw	zunächst
pozwolić	erlauben
leżeć	liegen
powstać	entstehen
rozmawiać	sprechen
trudny	schwer
wreszcie	endlich
pokazać	zeigen
zaś	hingegen
wracać	zurückkehren
publiczny	öffentlich
starać	bemühen
rozpocząć	beginnen
szczęście	Glück
pomysł	Idee
kolej	Bahn
wraz	samt
pokój	Zimmer
ciekawy	interessant
program	Programm
trzymać	halten
skończyć	beenden
zwłaszcza	insbesondere
wpływ	Einfluss
teren	Gelände
rodzic	Elternteil
dawny	ehemalig
zapytać	fragen
twój	dein
pozwalać	erlauben
Europa	Europa
podjąć	unternehmen
mocno	stark
nazywać	nennen
podstawa	Grundlage
Polak	Pole
grać	spielen
zatrzymać	anhalten
wierzyć	glauben
rynek	Markt
poznać	kennenlernen
żona	Ehefrau
wszelki	jeglich
możliwy	möglich
tłumaczyć	erklären
obraz	Bild
wiadomo	bekannt
usłyszeć	hören
nadal	weiterhin
zauważyć	bemerken
liczba	Zahl
pojawiać	erscheinen
przyznać	zugeben
otrzymać	erhalten
zamiast	statt
kierunek	Richtung
poziom	Niveau
kwestia	Frage
nagle	plötzlich
wartość	Wert
nieco	etwas
powrót	Rückkehr
stworzyć	schaffen
mieszkanie	Wohnung
zdjęcie	Foto
zakończyć	beenden
pora	Zeit
zrozumieć	verstehen
blisko	nahe
imię	Vorname
tamten	jener
wskazywać	weisen
wolny	frei
film	Film
warto	lohnenswert
odpowiadać	antworten
sąd	Gericht
znaczenie	Bedeutung
kościół	Kirche
pewnie	wahrscheinlich
zespół	Team
wychodzić	hinausgehen
złożyć	legen
wystarczyć	reichen
ciąg	Folge
zarówno	sowohl
krok	Schritt
bać	fürchten
postanowić	beschließen
akcja	Aktion
światło	Licht
noga	Bein
wprowadzić	einführen
ogromny	riesig
minuta	Minute
chociaż	obwohl
autor	Autor
zmieniać	ändern
polityka	Politik
dodać	hinzufügen
zamknąć	schließen
prezydent	Präsident
wymagać	erfordern
pracownik	Mitarbeiter
skoro	da
stracić	verlieren
centrum	Zentrum
odpowiedzieć	antworten
łatwo	leicht
sens	Sinn
wówczas	damals
wypadek	Unfall
znaczyć	bedeuten
policja	Polizei
zgodnie	entsprechend
dzisiaj	heute
wykonać	ausführen
badanie	Untersuchung
cena	Preis
potrzebować	brauchen
wniosek	Schluss
jechać	fahren
cieszyć	freuen
pokazywać	zeigen
znów	wieder
pewność	Sicherheit
proces	Prozess
europejski	europäisch
wchodzić	eintreten
obecny	gegenwärtig
stopień	Grad
rozwój	Entwicklung
dziewczyna	Mädchen
jasny	hell
stwierdzić	feststellen
próba	Versuch
przynajmniej	mindestens
syn	Sohn
wokół	um
silny	stark
traktować	behandeln
tym	desto
efekt	Effekt
korzystać	nutzen
pozycja	Position
źle	schlecht
szczególnie	besonders
zdawać	ablegen
następny	folgend
członek	Mitglied
kupić	kaufen
sztuka	Kunst
wydarzenie	Ereignis
stanąć	stehen
wy	ihr
krótki	kurz
miłość	Liebe
wcale	gar
relacja	Beziehung
rzeczywistość	Wirklichkeit
pomyśleć	denken
gra	Spiel
walczyć	kämpfen
dowiedzieć	erfahren
zaraz	sofort
pozostawać	bleiben
ludzki	menschlich
twierdzić	behaupten
odbyć	stattfinden
kontakt	Kontakt
narodowy	national
budynek	Gebäude
zadanie	Aufgabe
mąż	Ehemann
ściana	Wand
zatem	somit
doświadczenie	Erfahrung
składać	legen
jeżeli	wenn
okno	Fenster
niski	niedrig
dłoń	Handfläche
kończyć	beenden
kierować	leiten
pół	halb
element	Element
pozostać	bleiben
dokładnie	genau
obecnie	derzeit
koszt	Kosten
czerwony	rot
wieczór	Abend
artykuł	Artikel
słuchać	hören
dziwny	seltsam
zabrać	mitnehmen
głównie	hauptsächlich
szpital	Krankenhaus
zanim	bevor
zwrócić	zurückgeben
używać	benutzen
zdobyć	gewinnen
dodawać	hinzufügen
miejski	städtisch
charakter	Charakter
kolega	Kollege
telefon	Telefon
wolność	Freiheit
obowiązek	Pflicht
pamięć	Gedächtnis
zachować	bewahren
postawić	stellen
posiadać	besitzen
działalność	Tätigkeit
sprawdzić	prüfen
przyjaciel	Freund
organizacja	Organisation
właściwie	eigentlich
szef	Chef
przestać	aufhören
tymczasem	inzwischen
oddać	zurückgeben
ustawa	Gesetz
wyraźnie	deutlich
wykorzystać	nutzen
tytuł	Titel
dotrzeć	erreichen
zdrowie	Gesundheit
przypomnieć	erinnern
poważny	ernst
oglądać	anschauen
przeprowadzić	durchführen
los	Schicksal
typ	Typ
łączyć	verbinden
gotowy	bereit
tekst	Text
środowisko	Umwelt
niewiele	wenig
podać	reichen
przyszłość	Zukunft
spojrzeć	blicken
potrzebny	nötig
specjalny	speziell
zdecydować	entscheiden
przychodzić	kommen
metr	Meter
źródło	Quelle
rosnąć	wachsen
pewny	sicher
lekarz	Arzt
poczuć	fühlen
uczyć	lehren
wybór	Auswahl
budować	bauen
niech	soll
służyć	dienen
budowa	Bau
wyłącznie	ausschließlich
przestrzeń	Raum
odpowiedni	entsprechend
brat	Bruder
urząd	Amt
zastanawiać	nachdenken
brakować	fehlen
służba	Dienst
usta	Mund
kochać	lieben
stanowisko	Stelle
choćby	auch nur
znacznie	wesentlich
pomagać	helfen
ciężki	schwer
przedstawić	vorstellen
przyjechać	ankommen
dokument	Dokument
niemiecki	deutsch
rozwiązanie	Lösung
wykonywać	ausführen
skąd	woher
zależeć	abhängen
córka	Tochter
ruszyć	losgehen
bezpieczeństwo	Sicherheit
wiedza	Wissen
ramię	Schulter
stosować	anwenden
rano	Morgen
krew	Blut
uzyskać	erhalten
nazwa	Name
wspominać	erwähnen
gdzieś	irgendwo
następnie	anschließend
nauka	Wissenschaft
pochodzić	stammen
dyrektor	Direktor
znak	Zeichen
gość	Gast
materiał	Material
pozostały	übrig
zapomnieć	vergessen
znowu	wieder
poczucie	Gefühl
scena	Szene
ustalić	festlegen
minister	Minister
dokonać	vollbringen
opinia	Meinung
stawiać	stellen
sukces	Erfolg
polegać	beruhen
porządek	Ordnung
powietrze	Luft
przekazać	übergeben
podstawowy	grundlegend
ofiara	Opfer
tuż	knapp
duch	Geist
stół	Tisch
były	ehemalig
wręcz	geradezu
gazeta	Zeitung
skutek	Folge
podkreślać	betonen
właściciel	Eigentümer
rzeczywiście	tatsächlich
linia	Linie
prezes	Vorsitzende
zwykle	gewöhnlich
medium	Medium
choroba	Krankheit
założyć	gründen
niewielki	gering
szeroki	breit
partia	Partei
kilkanaście	zehn- bis neunzehn
rzucić	werfen
planować	planen
przynieść	bringen
wskazać	weisen
wysokość	Höhe
racja	Recht
pole	Feld
list	Brief
klasa	Klasse
iż	dass
pomiędzy	zwischen
bywać	sein
amerykański	amerikanisch
kilometr	Kilometer
umowa	Vertrag
mama	Mama
przepis	Vorschrift
społeczeństwo	Gesellschaft
wątpliwość	Zweifel
poprzedni	vorherig
nazwisko	Nachname
stąd	daher
udawać	vortäuschen
istotny	wesentlich
wzrok	Blick
bohater	Held
rodzinny	familiär
profesor	Professor
moc	Macht
światowy	weltweit
zwracać	zurückgeben
wrzesień	September
reszta	Rest
ku	zu
ksiądz	Priester
pojęcie	Begriff
otwarty	offen
zostawić	lassen
dochodzić	gelangen
gmina	Gemeinde
przyczyna	Ursache
prywatny	privat
przyjmować	annehmen
sklep	Laden
szybki	schnell
całkiem	ganz
zwykły	gewöhnlich
finansowy	finanziell
wewnętrzny	inner
koło	Kreis
spać	schlafen
palec	Finger
głęboki	tief
nosić	tragen
warszawski	Warschauer
kontrola	Kontrolle
okolica	Umgebung
okazywać	erweisen
wspomnieć	erwähnen
dawno	längst
budzić	wecken
doprowadzić	führen
opowieść	Erzählung
sprawiać	bereiten
ślad	Spur
grudzień	Dezember
oprócz	außer
pojechać	fahren
zakładać	gründen
świadomość	Bewusstsein
ochrona	Schutz
gdyż	denn
obcy	fremd
znajomy	Bekannte
dodatek	Zusatz
odbywać	stattfinden
natychmiast	sofort
przedstawiciel	Vertreter
maj	Mai
obserwować	beobachten
mowa	Rede
wykorzystywać	nutzen
funkcjonować	funktionieren
osiągnąć	erreichen
spokój	Ruhe
dodatkowy	zusätzlich
włos	Haar
towarzyszyć	begleiten
sądzić	meinen
powtarzać	wiederholen
zakres	Bereich
podawać	reichen
występować	auftreten
zapewnić	sichern
dowód	Beweis
emocja	Emotion
wysoko	hoch
zorganizować	organisieren
lokalny	lokal
klub	Klub
oprzeć	stützen
współpraca	Zusammenarbeit
jakoś	irgendwie
podnieść	heben
perspektywa	Perspektive
zostawać	bleiben
błąd	Fehler
dzieło	Werk
styczeń	Januar
płacić	bezahlen
trakt	Weg
objąć	umfassen
spółka	Gesellschaft
utrzymać	halten
jeść	essen
czynić	tun
spodziewać	erwarten
miara	Maß
jakikolwiek	irgendein
widok	Ansicht
zabić	töten
pozbawić	berauben
nazwać	nennen
zapewne	vermutlich
przedstawiać	darstellen
opuścić	verlassen
instytucja	Einrichtung
ostatnio	zuletzt
sala	Saal
podejmować	unternehmen
woleć	vorziehen
sześć	sechs
marzec	März
urodzić	gebären
otwierać	öffnen
informować	informieren
wyjaśnić	erklären
wersja	Version
zielony	grün
ów	jener
powoli	langsam
polityk	Politiker
ciągle	ständig
lista	Liste
przeciwko	gegen
obecność	Anwesenheit
muzyka	Musik
przedmiot	Gegenstand
stosunek	Verhältnis
zwierzę	Tier
określić	bestimmen
czerwiec	Juni
spotykać	treffen
wiara	Glaube
drzewo	Baum
zdążyć	schaffen
chłopiec	Junge
równie	ebenso
funkcja	Funktion
wpaść	hereinfallen
dzielić	teilen
łóżko	Bett
zapewniać	sichern
parę	paar
sierpień	August
zniknąć	verschwinden
pić	trinken
współczesny	gegenwärtig
podpisać	unterschreiben
międzynarodowy	international
dziesięć	zehn
przyszły	zukünftig
zdarzać	geschehen
zamierzać	beabsichtigen
odejść	weggehen
wygrać	gewinnen
jednostka	Einheit
poprzez	durch
organizować	organisieren
wiadomość	Nachricht
mocny	stark
naturalny	natürlich
termin	Termin
różnica	Unterschied
stały	ständig
zawierać	enthalten
zwać	nennen
para	Paar
wybierać	wählen
prawdopodobnie	wahrscheinlich
całość	Ganzes
gospodarczy	wirtschaftlich
ból	Schmerz
szczególny	besondere
poświęcić	widmen
kwiecień	April
auto	Auto
interes	Geschäft
policjant	Polizist
zebrać	sammeln
wczesny	früh
pies	Hund
wynosić	betragen
chłopak	Junge
czoło	Stirn
kierowca	Fahrer
przenieść	übertragen
wspierać	unterstützen
Kraków	Krakau
chętnie	gerne
umieć	können
październik	Oktober
jeździć	fahren
sieć	Netz
spowodować	verursachen
poszukiwać	suchen
przekonanie	Überzeugung
wyciągnąć	herausziehen
zgodzić	einigen
siostra	Schwester
ogłosić	ankündigen
klient	Kunde
akurat	gerade
przekonać	überzeugen
komisja	Kommission
kazać	heißen
konkretny	konkret
państwowy	staatlich
praktyka	Praxis
zachowanie	Verhalten
zbierać	sammeln
słaby	schwach
lipiec	Juli
inwestycja	Investition
zakład	Betrieb
właściwy	eigentlich
patrzyć	schauen
ostatecznie	schließlich
przechodzić	übergehen
wzrost	Wachstum
ukryć	verbergen
niebo	Himmel
listopad	November
chory	krank
przeżyć	erleben
oczekiwać	erwarten
opowiedzieć	erzählen
zbudować	bauen
brzmieć	klingen
tracić	verlieren
styl	Stil
kolor	Farbe
Niemcy	Deutschland
plac	Platz
odebrać	abholen
panować	herrschen
